Context (stripped away),Speaker,English,Translated,File name,Line number
,,...,……,Vellie/townMeeting,267
,,But does Otus know his way around the temple?,但欧图斯知道去神殿的路吗？,Vellie/townMeeting,288
,,"That's right!<20> I should join him, Asio!",的确！<20>那我和他一起去，艾西欧！,Vellie/townMeeting,299
,,...,……,Vellie/townMeeting,307
,,Alright.,好吧。,Vellie/townMeeting,312
,,"Be warned, Otus.",提醒你，欧图斯。,Vellie/townMeeting,312
,,"...If you disappoint me again, there will be S<2>E<2>R<2>I<2>O<2>U<2>S<2> C<2>O<2>N<2>S<2>E<2>Q<2>U<2>E<2>N<2>C<2>E<2>S<2>!",……如果你再让我失望的话，<nl>后<2>果<2>将<2>会<2>很<2>严<2>重<2>！,Vellie/townMeeting,318
,,You put our village in danger by leaving your post today.,你今天擅离岗位，让我们的村<nl>子陷入了危机。,Vellie/townMeeting,318
,,Do not do it again.,别再让这种事发生了。,Vellie/townMeeting,318
,,"Otus, Geddy, Professor.<30><nl>Get ready to leave.",欧图斯、格迪、教授，<30>准备出发吧。,Vellie/townMeeting,331
,,Get to the <b>Owl Temple<b> as quickly as you can!,用最快的速度赶往<b>猫头鹰神殿<b>！,Vellie/townMeeting,411
,,"Don't disappoint me, <15>Otus!",别让我失望，<15>欧图斯！,Vellie/townMeeting,411
,,Guards! <30><b>Open the gates<b>!,守卫！<30><b>开门<b>！,Vellie/townMeeting,429
,,"Finally, the gate is open!<nl><30>Let's get out of here Otus!",门终于开了！<nl><30>我们从这出去吧，欧图斯！,Vellie/townMeeting,471
,,This sauna here sure's nice!<nl>I come here on weekends.<nl>Weekdays too!,这里的桑拿真棒！我休息日会来！<nl>工作日也会来！,Vellie/saunaBabble,17
,,I rub my face with Bomboman's<nl>ointments every day! It keeps ya young!<nl>Wish it kept me young too!,我每天都用邦伯曼的药膏擦脸！<nl>它能让你保持年轻！<nl>希望它也能让我保持年轻！,Vellie/saunaBabble,17
,,I've forgotten where I live!,我忘记我住哪了！,Vellie/saunaBabble,17
,,I remember the day you was born!<nl>Heard all about it right<nl>here in this very hot spring!,我记得你出生的那天！<nl>我就是在温泉收到消息的！,Vellie/saunaBabble,17
,,You set any records in your life?<nl>I'm trying for the record in relaxation!,你的人生有创造过什么记录吗？<nl>我正尝试创造放松的记录！,Vellie/saunaBabble,17
,,"At times like these, it's important to relax.",像这种日子，学会放松是很重要的！,Vellie/saunaBabble,39
,,"Clear your mind, young'un. These are dark times.",净化心灵，年轻人。现在是黑暗的时代。,Vellie/saunaBabble,39
,,"We have to do what we can, Otus.<nl>We have to calm down, and then do what we can.",我们必须做力所能及的事，欧图斯。<nl>我们得静下心来，然后尽力而为。,Vellie/saunaBabble,39
,,"If I'm talking to you right now, it's<nl>a bug. Well done! Please report it.",如果我现在正跟你讲话，那就<nl>是个游戏异常。干得好！请告<nl>诉我们吧！,Vellie/saunaBabble,53
,,"We're in danger, laddy!<nl>Get your things and escape while you can!",我们有危险了，伙计！<nl>趁还有时间，收拾包袱跑吧！,Vellie/saunaBabble,72
,,"This is not the time for<nl>sauna-bathin', laddy! Get to safety!",现在可不是泡桑拿浴的时候，伙计！<nl>赶紧到安全的地方去吧！,Vellie/saunaBabble,72
,,Is Bomboman alright there?<nl>Was he inside the house?,邦伯曼还好吗？他是不是在屋子里？,Vellie/saunaBabble,72
,,"Don't mind me, boy, save yourself!",别担心我，男孩，保护好自己！,Vellie/saunaBabble,72
,,Run! Run while you still can!,快跑！能跑就别停下！,Vellie/saunaBabble,72
,,"About time, Otus.",是时候了，欧图斯。,Vellie/asioExplanation2,28
,,We will be keeping watch over Vellie today.,今天由我们来负责维里村的巡<nl>逻任务。,Vellie/asioExplanation2,33
,,There have been pirates about lately.<nl>You know the drill - <b>report to me or the guards<b><nl>if you see anything suspicious.,最近常有海盗出没。流程你应<nl>该清楚——只要发现可疑情况，<nl>立即<b>上报给我或守卫<b>。,Vellie/asioExplanation2,33
,,Any questions? <30>No?,还有问题吗？<30>没了？,Vellie/asioExplanation2,39
,,Then get to it!,那就去工作吧！,Vellie/asioExplanation2,39
,,Otus!,欧图斯！,Vellie/intro,105
,,Don't zone out!<30><nl>Get up here!,别发呆！<30>到上面来！,Vellie/intro,114
,,Otus! Where have you been?!,欧图斯！你到哪去了？！,Vellie/professorHelpOtus,41
,,"Get inside, right now!!!",快进来，马上！！！,Vellie/professorHelpOtus,41
,,Let's get into safety Otus!,我们快到安全的地方去，欧图斯！,Vellie/professorHelpOtus,77
,,Ho there! Looks like we've<nl>got a slacker in the village!,喂，那边的！看来我们抓住了<nl>一个懒鬼啊！,Vellie/GuardsAtPort,19
,,True that!,没错！,Vellie/GuardsAtPort,31
,,"Are you the troublemaker that's<nl>been lurking around town, Otus?",你就是那个一直在村子附近晃<nl>荡的捣乱鬼吗，欧图斯？,Vellie/GuardsAtPort,43
,,You sure look like a troublemaker to me.,在我看来你很像那个捣乱鬼。,Vellie/GuardsAtPort,43
,,True that!,没错！,Vellie/GuardsAtPort,59
,,I saw Asio on his way to the professor.,我看到艾西欧往教授家去了。,Vellie/GuardsAtPort,75
,,"For someone as strict as Asio,<nl>he sure lets you off easy.",艾西欧这么严格的人，对你倒<nl>是挺纵容的。,Vellie/GuardsAtPort,86
,,"Now, be a good owl and return to your duties.",好了，做个好猫头鹰，回到你<nl>的岗位上去吧。,Vellie/GuardsAtPort,86
,,True that!,没错！,Vellie/GuardsAtPort,102
,,What was that sound?,那是什么声音？,Vellie/GuardsAtPort,140
,,Sounded like someone screaming!,听起来像是有人在尖叫！,Vellie/GuardsAtPort,140
,,True that!,没错！,Vellie/GuardsAtPort,146
,,"Well, I'm feeling pretty sleepy...",嗯，我觉得好困……,Vellie/GuardsAtPort,151
,,...<10>I'm sure it was nothing!,……<10>我肯定那不是什么大事！,Vellie/GuardsAtPort,151
,,True that!,没错！,Vellie/GuardsAtPort,157
,,Boo!!!,轰！！！,Vellie/bullying,55
,,Hahaha!,哈哈哈！,Vellie/bullying,93
,,"Heh, you got him good, Fib!",嘿，你吓到他了，菲本！,Vellie/bullying,130
,,"Yeah, Bonacci!",没错，博纳奇！,Vellie/bullying,142
,,Guess he can fly after all!,我就知道他会飞起来的！,Vellie/bullying,142
,,"Man, you're such a scaredy-cat Otus!<nl>Owls should be tough and fearless!",看啊，你就像是受惊的小猫，欧图斯！<nl>猫头鹰应该是勇敢而坚强的！,Vellie/bullying,155
,,Are you sure you should be<nl>allowed to keep watch?,你确定自己能胜任放哨的工作吗？,Vellie/bullying,171
,,Doesn't everyone think you're an idiot?,不觉得大家都当你是傻瓜吗？,Vellie/bullying,171
,,"I mean, are you even a real owl?",我的意思是，你真的是只猫头鹰吗？,Vellie/bullying,171
,,...,……,Vellie/bullying,181
,,"Asking him questions is pointless, Fib.<nl>He can't reply anyway.",问他问题根本没有意义，菲本。<nl>他连回答都没法做到。,Vellie/bullying,189
,,"Oh yeah, he's a mute!",哦，没错，他是个哑巴啊！,Vellie/bullying,201
,,"Mute, silly Otus!",又哑又蠢的欧图斯！,Vellie/bullying,213
,,Hahaha!,哈哈哈！,Vellie/bullying,221
,,Hahaha!,哈哈哈！,Vellie/bullying,226
,,[1]HEY!,[1]嘿！,Vellie/bullying,272
,,You two lay off Otus!,你们俩个从欧图斯身边滚开！,Vellie/bullying,309
,,"And get back to patrolling,<nl>or I'll tell Strix!",快回去你们的巡逻，不然我就<nl>告诉斯吉克斯！,Vellie/bullying,317
,,"Don't mind them, Otus.",别理他们，欧图斯。,Vellie/bullying,357
,,They're just being childish.,他们只是群幼稚鬼而已。,Vellie/bullying,357
,,"Hey, why don't I join you?<nl>I can help you keep watch!",嗨，为什么不让我和你组队？<nl>我能帮你一起去放哨！,Vellie/bullying,379
,,We'll show them!,让他们见识下我们的能耐！,Vellie/bullying,379
,,Just pick me up and let's go!,抓起我出发吧！,Vellie/bullying,379
,,Whoa!,哇！,Vellie/gunnerLost1,10
,,"Haha, careful where you drop me, Otus!",哈哈，放我下来时小心点，欧图斯！,Vellie/gunnerLostSpeech,31
,,I'm not very proficient at flying.,我可不擅长飞行。,Vellie/gunnerLostSpeech,49
,,I'm getting better at climbing.,我越来越善于攀爬了。,Vellie/gunnerLostSpeech,64
,,Please stop.,请停止这种行为。,Vellie/gunnerLostSpeech,79
,,Whoa!,呜啊！,Vellie/gunnerLost2,9
,,"Hey, buddy!",嗨，伙计！,Vellie/GeddyGreetOtus,17
,,Psst..!,噗嘶……！,Vellie/meetAlphonseAfterAdvent,32
,,Master Otus!,欧图斯少爷！,Vellie/meetAlphonseAfterAdvent,41
,,"I must not be seen here,<nl>but we must talk.",我得和你谈谈，但不能让其他<nl>人看见我。,Vellie/meetAlphonseAfterAdvent,46
,,Let's meet up in your house.,我们在你家碰头吧。,Vellie/meetAlphonseAfterAdvent,46
,,We can talk there in private.,在那里我们可以私下进行讨论。,Vellie/meetAlphonseAfterAdvent,46
,,...A disaster.,……一场灾难。,Vellie/asioDepressed,37
,,Advent destroyed.,爱文德城被毁了。,Vellie/asioDepressed,37
,,Pirates roaming free.,海盗们肆无忌惮。,Vellie/asioDepressed,37
,,...,……,Vellie/asioDepressed,43
,,...And the Professor comes and<nl>tells me that the ruin holding<nl>the <b>relic<b> was opened.,……教授还来告诉我守护<b>圣物<b><nl>的遗迹大门被打开了。,Vellie/asioDepressed,48
,,"If the pirates gather all the relics,<nl>then we are all doomed.",要是海盗集齐了圣物，那我们<nl>都在劫难逃。,Vellie/asioDepressed,48
,,"And with Advent gone, we can't stop them...",爱文德城已经没了，我们无法<nl>阻止他们……,Vellie/asioDepressed,48
,,Otus.,欧图斯。,Vellie/asioDepressed,73
,,"You're here, are you?",你在这，是吧？,Vellie/asioDepressed,73
,,Leave me.,别靠近我。,Vellie/asioDepressed,86
,,I don't want to see you here again.,我不想再在这里见到你。,Vellie/asioDepressed,86
,,<15>.<15>.<15>.,<15>…<15>…<15>…,Vellie/asioDepressed,144
,,<5>O<5>t<5>u<5>s..?,<5>欧<5>图<5>斯<5>……？,Vellie/asioDepressed,159
,,You <30>fool!,你个<30>蠢货！,Vellie/asioDepressed,180
,,Imbecile! <60>Moron!,低能！<60>白痴！,Vellie/asioDepressed,180
,,Leave this place at once!,马上离开这个地方！,Vellie/asioDepressed,180
,,"Otus, <30>why have you come back?",欧图斯，<30>为什么你要回来？,Vellie/asioDepressed2,23
,,You should leave! <30>Now!,你应该离开！<30>马上！,Vellie/asioDepressed2,23
,,Otus<15>.<15>.<15>. <60>Please.,欧图斯<15>…<15>…<15>…<60>求你了。,Vellie/asioDepressed3,23
,,This place is no longer <15>safe.,这里不再<15>安全。,Vellie/asioDepressed3,31
,,I couldn't keep the village from harm.,我无法让村庄免遭伤害。,Vellie/asioDepressed3,46
,,"Not me, <30>nor Strix, <30>nor any other owl.",我不行，<30>斯吉克斯不行，<nl><30>其他猫头鹰也不行。,Vellie/asioDepressed3,46
,,We are... <60>frail. <60>Arrogant. <60>Short sighted.,我们……<60>脆弱、<60>傲慢、<60>短视。,Vellie/asioDepressed3,62
,,<30>If you hadn't left the school...,<30>如果你没有离开学校……,Vellie/asioDepressed3,70
,,Otus...,欧图斯……,Vellie/asioDepressed3,70
,,We have been spared<30> from my own <nl>foolish actions this time.,这次我们幸免于<30>我愚蠢行为所<nl>带来的灾难。,Vellie/asioDepressed3,70
,,"Fly away as far as you can, Otus.",飞得越远越好，欧图斯。,Vellie/asioDepressed3,80
,,"Hide yourself from others, and never return.",从其他人的眼里消失，永远也<nl>不要回来。,Vellie/asioDepressed3,95
,,"Heed my final lesson now, <60>so that<nl>you may live a little longer.",这是我给你上的最后一课，<nl>那<60>能让你活得更久一些。,Vellie/asioDepressed3,95
,,I <15>am <15>so <15>s<5>o<5>r<5>r<5>y <90>for everything.,我<15>真的<15>非常<15>抱<5>歉，为我所作的一切。,Vellie/asioDepressed4,26
,,Thank you!,谢谢你！,Vellie/thanksForFood,8
,,...,……,Vellie/Graveyard/meetGeddyAfterAdvent,14
,,...,……,Vellie/Graveyard/meetGeddyAfterAdvent,28
,,...,……,Vellie/Graveyard/meetGeddyAfterAdvent2,16
,,So many lives lost<15>.<15>.<15>.,多少生命消逝了<15>…<15>…<15>…,Vellie/Graveyard/meetGeddyAfterAdvent2,24
,,I<15>.<15>.<15>. I can't believe this happened.,我<15>…<15>…<15>…我无法相信眼前发生的一切。,Vellie/Graveyard/meetGeddyAfterAdvent2,32
,,"I was right there, <30>and <30>I couldn't help.",我就在那里，<30>却<30>无能为力。,Vellie/Graveyard/meetGeddyAfterAdvent2,49
,,None of the things we accomplished <30>mattered at all...,我们所做之事<30>根本一文不值……,Vellie/Graveyard/meetGeddyAfterAdvent2,49
,,"We were doing so great, <30>and yet <30><nl>this is how it all turned out.",我们做得那么好，<30>但<30>最后却变成<nl>了这样。,Vellie/Graveyard/meetGeddyAfterAdvent2,58
,,We failed them.,我们辜负了他们。,Vellie/Graveyard/meetGeddyAfterAdvent2,74
,,We failed them <15>all.,我们辜负了他们<15>所有人。,Vellie/Graveyard/meetGeddyAfterAdvent2,82
,,"I miss it, <30>Otus. <60>I miss it so much.",我想念它，<30>欧图斯。<60>我太想念它了。,Vellie/Graveyard/meetGeddyAfterAdvent3,12
,,Even though we never got<nl>to fully experience Advent.,虽然我们还没彻底感受过爱文<nl>德城的风土人情。,Vellie/Graveyard/meetGeddyAfterAdvent3,12
,,Its streets. <30>Its culture. <30>The people.,它的街道…<30>它的文化…<30>它的住民…,Vellie/Graveyard/meetGeddyAfterAdvent3,21
,,We never got to see how it'd all <30>turn out.,但我们再也没有机会看到它的<nl><30>未来了。,Vellie/Graveyard/meetGeddyAfterAdvent3,21
,,Otus<5>.<5>.<5>.,欧图斯<5>…<5>…<5>…,Vellie/Graveyard/meetGeddyAfterAdvent3,30
,,Did we<5>.<5>.<5>. <30>Try <30>hard <30>enough?,我们<5>…<5>…<5>…<30>足够<30>努力<30>吗？,Vellie/Graveyard/meetGeddyAfterAdvent3,45
,,I<10>.<10>.<10>. <30>I<10>.<10>.<10>.,我<10>…<10>…<10>…<30>我<10>…<10>…<10>…,Vellie/Graveyard/meetGeddyAfterAdvent3,58
,,"I don't know if I can go back there, <30>Otus.",我不知道自己能否回到你那边，<nl><30>欧图斯。,Vellie/Graveyard/meetGeddyAfterAdvent3,67
,,Do you think it makes any difference<nl>what we do from now on?,你觉得我们从现在开始努力还<nl>会有用吗？,Vellie/Graveyard/meetGeddyAfterAdvent4,17
,,Our future is lost!,我们的未来已经没了！,Vellie/Graveyard/meetGeddyAfterAdvent4,25
,,Our capital is completely gone!,我们的首都彻底消失了！,Vellie/Graveyard/meetGeddyAfterAdvent4,25
,,Think about it. <30>The pirates<nl>destroyed Advent this easily!?,仔细想想。<30>海盗这么简单地就<nl>把爱文德城给摧毁了！？,Vellie/Graveyard/meetGeddyAfterAdvent4,34
,,What are we to do?,我们能做什么？,Vellie/Graveyard/meetGeddyAfterAdvent4,43
,,I...<30> I don't feel like I<nl>belong in this village anymore.,我……<30>我感觉自己不再属于这<nl>个村子。,Vellie/Graveyard/meetGeddyAfterAdvent4,48
,,I've <60>failed all of them.,我<60>辜负了他们所有人。,Vellie/Graveyard/meetGeddyAfterAdvent4,56
,,Is it OK if I stay at your place for a while?,我可以在你家待上一阵子吗？,Vellie/Graveyard/meetGeddyAfterAdvent4,76
,,I need to <15>get <15>away <15>from here.,我需要<15>离<15>开<15>这里。,Vellie/Graveyard/meetGeddyAfterAdvent4,76
,,...,……,Vellie/Graveyard/meetGeddyAfterAdvent4,100
,,"[1]I am the great master Strix <30>and I<nl>am [3]smart,<30> [3]strong <30>and [3]fantastic!",[1]我是伟大的斯吉克斯大师，<nl><30>我[3]聪明<30>[3]、强大<30>且[3]优秀！,Vellie/FibBonnaciAfterAdvent,31
,,"I am Asio, <30>and I'm [1]stupid!",我是艾西欧，<30>是个[1]蠢货！,Vellie/FibBonnaciAfterAdvent,39
,,Hahaha!,哈哈哈！,Vellie/FibBonnaciAfterAdvent,47
,,Hahaha!,哈哈哈！,Vellie/FibBonnaciAfterAdvent,52
,,"Oh wait, I got another one!",哦等等，我还有另外一种说法！,Vellie/FibBonnaciAfterAdvent,65
,,Hum-um!,嗯哼！,Vellie/FibBonnaciAfterAdvent,65
,,"I am Asio, <30>and I am, uh,<30> [1]incompetent!",我是艾西欧，<30>我很，嗯，<30>[1]无能！,Vellie/FibBonnaciAfterAdvent,74
,,[1]Extremely<30> [1]incompetent!,[1]非常的<30>[1]无能！,Vellie/FibBonnaciAfterAdvent,74
,,Hahaha!,哈哈哈！,Vellie/FibBonnaciAfterAdvent,86
,,Hahaha!,哈哈哈！,Vellie/FibBonnaciAfterAdvent,91
,,Hey now! <15>Look who it is!,嘿！<15>看看谁来了！,Vellie/FibBonnaciAfterAdvent2,36
,,"Oh man, it's scaredy cat Otus!",哦天啊，是那个胆小的猫仔欧图斯！,Vellie/FibBonnaciAfterAdvent2,49
,,I heard he was <30><b>bravely<b> <30>locked up<nl>by his mentor during the attack!,我听说袭击发生时，他被他老师<nl><30><b>勇敢地<b><30>锁了起来！,Vellie/FibBonnaciAfterAdvent2,57
,,And that he <30><b>bravely<b> <30>fainted during the commotion!,而且在暴乱的时候，他<30><b>勇敢地<b><nl><30>晕倒了！,Vellie/FibBonnaciAfterAdvent2,57
,,"Haha, yeah!",哈哈，是这样！,Vellie/FibBonnaciAfterAdvent2,66
,,"Not everyone is out to make a difference, Bonacci!",不是每个人都能有所作为的，博纳奇！,Vellie/FibBonnaciAfterAdvent2,71
,,"That's right, <30>at least we got a crate of<nl>food outta Advent before it was too late!",是啊，<30>至少我们在爱文德城被<nl>毁前搬出了一箱食物！,Vellie/FibBonnaciAfterAdvent2,79
,,<b>Strix<b> even gave us guard duty<nl>over these supplies! We're the best!,<b>斯吉克斯<b>还安排我们看守补给<nl>品的工作！我们是最棒的！,Vellie/FibBonnaciAfterAdvent2,84
,,"Yeah, so beat it Otus! <30>We've<nl>got this taken care of!",没错，所以你快滚吧，欧图斯！<nl><30>我们会处理这些的！,Vellie/FibBonnaciAfterAdvent2,89
,,Vellie will become a much<nl>better place from now on!,从现在开始，维里村会变成一个<nl>更好的地方！,Vellie/FibBonnaciAfterAdvent2,89
,,How are we doing on supplies!?,补给方面怎么样！？,Vellie/StrixInVellie1,23
,,Ummm.,嗯。,Vellie/StrixInVellie1,34
,,"This is all there is, sir <b>Strix<b>!",全都在这了，<b>斯吉克斯<b>长官！,Vellie/StrixInVellie1,39
,,This is it!?,就这点！？,Vellie/StrixInVellie1,44
,,This village's supplies won't even last a week.,这个村庄的补给连一个星期都<nl>维持不了。,Vellie/StrixInVellie1,53
,,"Preposterous! <30><b>Asio<b> has done<nl>a lacklustre job here, <15>at <15>best!",太荒谬了！<30><b>艾西欧<b>在这做了多少<nl>没用的工作！,Vellie/StrixInVellie1,53
,,We need to start planning a long-term<nl>solution for all of Advent's refugees.,我们得为爱文德城的难民制订<nl>一套长期的解决方案。,Vellie/StrixInVellie1,66
,,"Comfort is secondary, survival is top priority!",舒适第二，第一要务是生存！,Vellie/StrixInVellie1,66
,,"Hm... Yes, sir!",嗯……是的，长官！,Vellie/StrixInVellie1,72
,,Otus! What are you doing!,欧图斯！你在做什么！,Vellie/PirateAttack/dontEnterDVellie,23
,,We need to get to the Professor's laboratory!,我们得赶去教授的实验室！,Vellie/PirateAttack/dontEnterDVellie,23
,,T-This... This is too much<10>.<10>.<10>.,这、这……这太过分了<10>…<10>…<10>…,Vellie/solusScene,34
,,"I can't believe it, Otus!",我无法相信，欧图斯！,Vellie/solusScene,34
,,Everything has gone wrong!,每件事都出了问题！,Vellie/solusScene,34
,,I can't stay here in Vellie.,我不能继续待在维里村了。,Vellie/solusScene,49
,,"...It's been nice to know you, Otus.",……能认识你真好，欧图斯。,Vellie/solusScene,64
,,.<10>.<10>.<10>Goodbye.,…<10>…<10>…<10>再见。,Vellie/solusScene,64
,,I don't think we'll see each other again...,我想我们不会再见面了……,Vellie/solusScene,64
,,"Hey, Otus! Take me with you!",嗨，欧图斯！带我一起走！,Vellie/remindPickupGeddy,6
,,The present beckons you...,现实在向你挥手……,Vellie/returnToD3,25
,,"You seem to be struggling with the heat, my boy!",看来你很不耐热啊，我的男孩！,Vellie/tobysGift,16
,,Let me teach you a little trick to deal with it.,让我教你个小技巧。,Vellie/tobysGift,16
,,"Ahhh, feel that?",啊，感觉到了吗？,Vellie/tobysGift,25
,,It's all about accepting the scalding water!,诀窍就是接受滚烫的热水！,Vellie/tobysGift,25
,,Relax in it. <30>Soak in it!,放松其中！<30>沉浸其中！,Vellie/tobysGift,25
,,Give it a try.,来试试吧。,Vellie/tobysGift,25
,,"There you go, lad.",这就对了，小伙。,Vellie/tobysGift,46
,,Never forget to take your time to relax.,千万别忘了抽点时间来放松放松。,Vellie/tobysGift,46
,,Take it from ol' Toby! <30>He's a relaxer!,谨记老托比的话！<30>他可是放松专家！,Vellie/tobysGift,46
,,Ahhh...,啊……,Vellie/tobysGift,101
,,There's nothing like relaxing in the hot spring!,没什么能比待在温泉里更放松的了！,Vellie/tobysGift,101
,,...Oh?,……喔？,Vellie/tobysGift,110
,,"You seem to be getting hot under the collar, Otus.",你下半身正在变热，欧图斯。,Vellie/tobysGift,110
,,"You've gotta relax, buddy!",你得学会放松，伙计！,Vellie/tobysGift,116
,,Unclench your muscles and let<nl>the heat into your pores!,放松你的肌肉，让热量通过你<nl>的毛孔！,Vellie/tobysGift,116
,,C'mon! Try it!,来吧！试试看！,Vellie/tobysGift,116
,,"That's the way, Otus!",就是这样，欧图斯！,Vellie/tobysGift,139
,,Now we can both enjoy the hot spring!,现在我们能一起享受温泉了！,Vellie/tobysGift,145
,,...Say...,……说起来……,Vellie/tobysGift,153
,,I wonder where Toby went.,我很好奇托比去哪了。,Vellie/tobysGift,153
,,He never used to leave this hot spring.,他从没离开过这座温泉。,Vellie/tobysGift,153
,,Mandolyn told me he just<nl>left without saying anything.,曼德林告诉我说他没留下任何<nl>信息就离开了。,Vellie/tobysGift,153
,,Hmm...,嗯……,Vellie/tobysGift,163
,,"We'll have to become the hot spring<nl>experts until he comes back, huh?",那在他回来前，我们就是温泉<nl>大师了，对吧？,Vellie/tobysGift,171
,,Toby's taken good care of this hot spring.,托比总是护着这座温泉。,Vellie/tobysGift,179
,,We should make good use of it while he's away.,现在他不在，我们应该乘机好<nl>好享用一番。,Vellie/tobysGift,179
,,Aahhh...,啊……,Vellie/tobysGift,188
,,"You feel that, Otus?",你感觉到了吗，欧图斯？,Vellie/tobysGift,188
,,"Things are tough now, but<nl>there's always time to relax a bit.",虽然如今的日子非常艰难，但<nl>总该抽出点时间来放松一下。,Vellie/tobysGift,188
,,"Anyway, my <b>mapping machine<b> is incredible.",不管怎样，我的<b>地图绘测仪<b>都<nl>是最优秀的。,Vellie/Lab/machineConversation,15
,,"Even you have to admit that, Asio.",就算是你也必须承认，艾西欧。,Vellie/Lab/machineConversation,15
,,Nonsense.,胡说八道。,Vellie/Lab/machineConversation,21
,,The owls have done this for centuries.,猫头鹰几个世纪前就做过这个了。,Vellie/Lab/machineConversation,21
,,Your attempt to undermine my<nl>influence in the village is pathetic.,任何想削弱我在村里威信的企<nl>图都是徒劳的。,Vellie/Lab/machineConversation,21
,,You stubborn old..!,你个老顽固……！,Vellie/Lab/machineConversation,32
,,You think I'm playing petty politics?!,你认为我在玩可笑的政治把戏？！,Vellie/Lab/machineConversation,32
,,"You're far too proud, Asio!",你太自以为是了，艾西欧！,Vellie/Lab/machineConversation,32
,,So you say after you try<nl>to spit on my heritage.,你在污蔑了我族遗产后倒是摆<nl>出了一副正人君子的模样。,Vellie/Lab/machineConversation,39
,,*Sigh*,*叹气*,Vellie/Lab/machineConversation,51
,,"I pity you for having this<nl>fool as a mentor, Otus.",我为你有这样一位愚蠢的老师<nl>而感到遗憾，欧图斯。,Vellie/Lab/machineConversation,51
,,"Hey again, Otus.",又见面了，欧图斯。,Vellie/Lab/professorCheck,25
,,Just showing your teacher<nl>what the future looks like.,我只是想给你的老师展示下未<nl>来会是什么样子的。,Vellie/Lab/professorCheck,25
,,Try not to break anything<nl>while you're here.,你小心别损坏这里的设备。,Vellie/Lab/professorCheck,25
,,"Careful where you fly, Otus.",小心点飞，欧图斯。,Vellie/Lab/professorCheck,39
,,There's a lot of important equipment in here.,这里有很多贵重的设备。,Vellie/Lab/professorCheck,39
,,Not that Asio seems to understand that.,它们不像艾西欧想的那样廉价。,Vellie/Lab/professorCheck,39
,,A great structure above the skies...,天空之上的巨大建筑……,Vellie/Lab/professorCheck,66
,,"I almost wish I could come with you, Otus.",我好希望能跟你一起去，欧图斯。,Vellie/Lab/professorCheck,66
,,It must be quite a sight.,那景象肯定会让人惊叹。,Vellie/Lab/professorCheck,66
,,?,？,Vellie/Lab/rocketCutsceneStart,32
,,Otus? Why are you here?,欧图斯？为什么你在这？,Vellie/Lab/rocketCutsceneStart,44
,,You should evacuate!,你应该撤离的！,Vellie/Lab/rocketCutsceneStart,44
,,The pirates could strike at any moment!,海盗随时都有进攻的可能！,Vellie/Lab/rocketCutsceneStart,44
,,The Professor is right.,教授说得对。,Vellie/Lab/rocketCutsceneStart,51
,,There's even been sights of landmasses rising.,现在都能看到陆地翘起的现象了。,Vellie/Lab/rocketCutsceneStart,51
,,...Something isn't right with the world.,……世界不再正常。,Vellie/Lab/rocketCutsceneStart,51
,,"We need some help, Professor.",我们需要帮助，教授。,Vellie/Lab/rocketCutsceneStart,66
,,We're tracking someone who might<nl>hold the key to saving Vellie.,我们正在追踪一个可能握有拯<nl>救维里村钥匙的人。,Vellie/Lab/rocketCutsceneStart,66
,,Really?<30> Who?,真的？<30>是谁？,Vellie/Lab/rocketCutsceneStart,72
,,We don't know.,我们还不确定。,Vellie/Lab/rocketCutsceneStart,77
,,Whoever it was went above the<nl>Mesosphere before we could catch him.,那人在我们能抓住他前就已经<nl>逃到中间层上空去了。,Vellie/Lab/rocketCutsceneStart,77
,,Otus can't fly that high...,欧图斯飞不了那么高……,Vellie/Lab/rocketCutsceneStart,77
,,"Well, we could perhaps help you get up there.",好吧，或许我们能帮你们去到那里。,Vellie/Lab/rocketCutsceneStart,84
,,But I don't see why we should.,但我没看到必须这么做的理由。,Vellie/Lab/rocketCutsceneStart,92
,,"The last time I helped you out,<nl>things didn't go so well.",上次我帮你们出去的结果可不<nl>怎么好。,Vellie/Lab/rocketCutsceneStart,92
,,Please!,拜托了！,Vellie/Lab/rocketCutsceneStart,98
,,We have to do something!,我们必须得做些什么！,Vellie/Lab/rocketCutsceneStart,98
,,Whoever's up there has all three Relics!,在那上面的人拥有全部三件圣物！,Vellie/Lab/rocketCutsceneStart,98
,,...,……,Vellie/Lab/rocketCutsceneStart,107
,,Three... Relics..?,三件……圣物……？,Vellie/Lab/rocketCutsceneStart,113
,,.<5>.<5>.<5>,…<5>…<5>…<5>,Vellie/Lab/rocketCutsceneStart,113
,,...You mean... The <20>Hex Relics<10>.<10>.<10>?,……你是指……<20>魔法圣物<10>…<10>…<10>？,Vellie/Lab/rocketCutsceneStart,113
,,You've heard of them!,你听说过啊！,Vellie/Lab/rocketCutsceneStart,120
,,Then you know we're not making this up!,那你肯定知道我们没有乱说！,Vellie/Lab/rocketCutsceneStart,120
,,"What are they talking about, Professor?",他们在说什么呢，教授？,Vellie/Lab/rocketCutsceneStart,136
,,.<20>.<20>.,…<20>…<20>…,Vellie/Lab/rocketCutsceneStart,140
,,"Alright, Otus and Geddy.",好吧，欧图斯和格迪。,Vellie/Lab/rocketCutsceneStart,145
,,Let's do a test.,让我们来做个测试。,Vellie/Lab/rocketCutsceneStart,145
